Comment,Translated_Comment,Category,Hate Speech,Geography
যত্তসব পাপন শালার ফাজলামী!!!!!,Yattasab papan shala Fazlami !!!!!,sports,1,Bangladesh
পাপন শালা রে রিমান্ডে নেওয়া দরকার,Papon Shala needs to be remanded,sports,1,Bangladesh
জিল্লুর রহমান স্যারের ছেলে এতো বড় জারজ হবে এটা একটা দেশের মানুষ কোনো দিন ও ভাবতে পারেনি।ধন্যবাদ তাহসিন ভাই।,"Zillur Rahman sir's son would be such a big bastard, the people of a country could never have thought. Thank you Tahsin brother.",sports,1,Bangladesh
শালা লুচ্চা দেখতে পাঠার মত দেখা যায়,Shala Luccha looks like Pathah,sports,1,Bangladesh
তুই তো শালা গাজা খাইছচ।তুর মার হেডায় খেলবে সাকিব,Tui to shala gaza khaichchach. Tur mar hedaya khelbe saqib,sports,1,Bangladesh
এটা কুন দরনের কেলা ফাইজলামি তাস্কিন রে চর মারা দরকার,It is necessary to kill kun daran banana faizlami taskin re char,sports,1,Bangladesh
পাপন ভর মাদা চোদ পাপনে পদতেক চাই,Papan bhar mada chod papane padatek want,sports,1,Bangladesh
দুরো সালার পুদ চুপথাক,Duro Salar Pud is quiet,sports,1,Bangladesh
কুত্তার বাছচা পাপন,Puppies are born,sports,1,Bangladesh
বাল ছাল তর সাউয়া😡,Bal chaal tar sawa😡,sports,1,Bangladesh
তোর কপালে জুতা মারি শালার পুত,Put a shoe on your forehead Shala's son,sports,1,Bangladesh
পাপনে পাগল হয়াছে,Papan is crazy,sports,1,Bangladesh
দেখেছো মাগি না হিজরা বোঝা যাচ্ছে না। দেখে মনে হচ্ছে হিজরা,"You see, Magi and Hijra are not understood. Looks like Hijra",sports,1,Bangladesh
হালার পু পাপন,Halar Pu Papon,sports,1,Bangladesh
শালায় এই কারণেই খেলায় ডাব্বা মারে😡😠,That's why Shala beats Dabba in the game😡😠,sports,1,Bangladesh
ব্ব,bb,sports,1,Bangladesh
পাপন হালারে বেট থেকে জুতার মালা দিয়এই বের করে না কেনে ওর কারনে ভাল পিলিআর গুলো খেলা পারেনা,Papon Halare can't play good balls because he doesn't take out the shoelace from the bat.,sports,1,Bangladesh
পাপন মাঘির পুতের পেটের মদ্দে দুর্নিতি ভরা,Papan Maghi's son's belly is filled with corruption,sports,1,Bangladesh
পাপনকে জুতার মালা দেয়া জরুর,It is necessary to give papan a garland of shoes,sports,1,Bangladesh
আমি হলে তো জারসি পড়া লোকটাকে চুদেদিতাম,"If it were me, I would have fucked the guy in jersey",sports,1,Bangladesh
ইয়েছির আলী হালা খেলা জানেনা,Yeshir Ali does not know how to play Hala,sports,1,Bangladesh
কুত্তার বাচ্চা পাপন,Puppy puppy,sports,1,Bangladesh
পাপন মাগির পোলার এটা করছে,Papon Magi's Polar is doing it,sports,1,Bangladesh
মাগির পুয়া,Pua of Magi,sports,1,Bangladesh
