Comment,Translated_Comment,Category,Hate Speech,Geography
我见过有人是这样解释的，“结了婚改了姓证明人家把妻子当作自家人，中国人结婚之后都不把妻子当作自己家人”,"I have seen someone explain it like this, ""Changing your surname after getting married proves that people regard their wives as their own family members. Chinese people do not regard their wives as their own family members after they get married.""",,0,China
她们叫我们这种已婚已育的女性叫婚驴～,They call women like us who are married and have children a married donkey~,,0,China
不是说反性骚扰的口号是“我们可以‘骚’你不可以扰”吗？怎么现在要变成包起来了吗？,"Isn't it said that the anti-sexual harassment slogan is ""We can 'sex' you but not harass""? Why is it going to be wrapped up now?",,0,China
"母权制社会不存在以母亲为中心的权力宰制体系, 也不是女尊男卑社会,.","There is no mother-centered power control system in a matriarchal society, nor is it a society where women are superior to men.",,0,China
男朋友没什么很明显的男权主义，但是如果我反对他做一些事，他会不理解。但如果我将我俩角度转换，变成我做那些事，他就知道事情的严重性了，就不去做了。,"Boyfriend doesn't have obvious masculinity, but if I object to him doing something, he won't understand. But if I change our angles to me doing those things, he will know the seriousness of the matter and will not do it.",,0,China
那如果有厌男症是不是对父亲有愤怒,"So if you have misogyny, is it anger at your father?",,0,China
确实 我就是田园女权 有田有园好香啊,"Indeed, I am a pastoral feminist, Arita Yuen is so fragrant",,0,China
"以及……我逛乙女tag不是为了治愈一下因看太多负面新闻有点疲惫绝望的心么？为什么我要在这个tag里继续看女孩子怎么被侮辱？这种tag不是应该是放肆“我可以”“我又好了”的地方么？,女性向的游戏，女主却靠着男人走出自卑走出阴影？作者本意是安慰那些受过伤害的女孩子？呸。这种文章不配代表受害者发言，真正被伤害到的人不会感觉被安慰，只有伤口一次次被揭开的痛苦。还是那句话，世上没有完全的感同身受，不要用你贫瘠的想象去揣度他人的内心想法。","And...Isn't I visiting Otome tags to heal my tired and hopeless heart from watching too much negative news? Why do I continue to watch how girls are insulted in this tag? Isn't this kind of tag supposed to be a place where ""I can"" and ""I'm fine again"" are presumptuous? In a female-oriented game, the heroine relies on the man to get out of inferiority complex and out of the shadows? The author intended to comfort those hurt girls? Pooh. This kind of article is not worthy to speak on behalf of the victims. People who are really hurt will not feel comforted, only the pain of the wound being opened again and again. Still the same sentence, there is no complete empathy in the world, don't use your poor imagination to speculate on other people's inner thoughts.",,0,China
"我看连岳呀 但其实我表达的不是这个意思 哪怕家庭主妇一毛钱也不创造 我也有选择当家庭主妇的权利 并且不该被评判 我是这么个意思。 当然家庭主妇创造的钱也是很多的～,恩恩 那是肯定的 大多数的上班根本也创造不了什么价值 家庭主妇起码能实实在在的改变家里人的生活环境","I see Lian Yue, but that’s not what I meant. Even if a housewife doesn’t create a dime, I have the right to choose to be a housewife and I shouldn’t be judged. That’s what I meant. Of course, housewives also create a lot of money~, yes, that’s for sure. Most of the work can’t create any value at all. Housewives can at least really change the living environment of the family.",,0,China
我们极端？三千万女孩，被强暴性侵，家暴，出轨的都是我们极端化？,"Are we extreme? Thirty million girls, who were raped, sexually assaulted, domestically abused, and cheated are all extremized by us?",,0,China
哦是吗？不知道这些，只记得念高中时候媒体铺天盖地都是他拍香草天空出轨的消息🤷🏻♀️,"Oh, is it so? I don’t know about this, I just remember that when I was in high school, the media was full of news about his cheating on Vanilla Sky🤷🏻♀️",,0,China
是的，因为老汤出轨。所以没什么好感叹金童玉女神仙眷侣的,"Yes, because Lao Tang cheated. So there is nothing to lament the golden boy, jade goddess, fairy couple",,0,China
是的，是所有女性失权的开始，和每一个女性息息相关,"Yes, it is the beginning of the disempowerment of all women, and it is closely related to every woman",,0,China
而是他没有对受伤害的女生道歉 这只是一种不负责任的表现 受害者的阴影依旧存在 而且施害者的死会对他们造成影响,It's just that he didn't apologize to the girl he hurt. It's just irresponsible. The shadow of the victim still exists and the death of the perpetrator will affect them.,,0,China
