Comment,Translated_Comment,Category,Hate Speech,Geography
я поляк я люблю тебе ,"I'm Polish, I love you",None,0,Russia_Ukaraine
легче всего обвинять россию ,it's easier to blame Russia,None,0,Russia_Ukaraine
эх с танком бы куда круче смотрелось ,oh with a tank it would look much cooler,None,0,Russia_Ukaraine
як так можна брат на брата ,how can brother against brother,None,0,Russia_Ukaraine
 владимир владимирович кто бы говорил ,Vladimir Vladimirovich who would say,None,0,Russia_Ukaraine
что же ты не спишь сша там где ты всегда война ,why don't you sleep USA where you are always war,None,0,Russia_Ukaraine
мы же один народ вы друг друга ненавидите так нельзя ,we are one people you hate each other so it is impossible,None,0,Russia_Ukaraine
на видео анти террористический отряд сбу а не беркут допрыгались теперь валить будут ,"on the video, the anti-terrorist detachment of the SBU and not the golden eagle jumped now they will bring down",None,0,Russia_Ukaraine
угу между псковом и новгородом тоже не может быть никаких союзов а еще между мурманском и владивостоком между киевом и москвой между питером и челябинском ,"Yeah, there can’t be any unions between Pskov and Novgorod either, and also between Murmansk and Vladivostok, between Kiev and Moscow, between St. Petersburg and Chelyabinsk",None,0,Russia_Ukaraine
жаль что так получилось ,sorry it happened,None,0,Russia_Ukaraine
до сашо завжди була і є велика повага ,Sasho has always had and still has great respect,None,0,Russia_Ukaraine
героям слава ,Glory to the heroes,None,0,Russia_Ukaraine
а я думаю хакамада очень умная женщина а крашенинникова российская шовинистка если украинец любит свою родину он националист россиянин любит свою родину он патриот ребятки как это понимать ,but I think khakamada is a very smart woman and krasheninnikova is a Russian chauvinist if a Ukrainian loves his homeland he is a nationalist a Russian loves his homeland he is a patriot guys how to understand this,None,0,Russia_Ukaraine
вместо того что бы работать ходят машут флагами и катаются на мопедах работать надо на благо своего будующего ,"instead of going to work, they wave flags and ride mopeds, you need to work for the benefit of your future",None,0,Russia_Ukaraine
с такими людьми рядом не страшно было умирать спасибо майдану ,with such people next to me it was not scary to die thanks to Maidan,None,0,Russia_Ukaraine
ещё один зомбированный москалёныш бедааа ,another zombified Muscovite bedaaa,None,0,Russia_Ukaraine
вже є вулиці досі повні ,there are already streets that are still full,None,0,Russia_Ukaraine
 дмитрий киевлянин когда коммандировочные беркуту от яныка около штуки баксов в день сложно им думать о совести ,Dmitry from Kiev,None,0,Russia_Ukaraine
соловьёв красавчик всегда мне нравился короткими вставками ,Soloviev handsome I always liked short inserts,None,0,Russia_Ukaraine
читаю комментарии и становится понятно что все кому лень думать вникать во внутреннюю и внешнюю политику россии те за хакамаду именно такие слепо идут на болотную майданы и прочие путчи т к зачем думать нам же сказали за свободу за справедливость крашенинникова уже для таких как вы все разжевала все по полочкам разложила хотя о чем это я это же все равно надо мозг включить и подумать а хакамада так задорно орет что грех ей не поверить ,"I read the comments and it becomes clear that everyone who is too lazy to think about delving into the domestic and foreign policy of Russia, those for Khakamada, they are just the ones who blindly go to the swamp Maidan and other putschs, so why think we were told for freedom, for Krasheninnikov’s justice, for people like you, everyone chewed everything sorted it out on the shelves, although what am I talking about, it’s still necessary to turn on the brain and think, and the khakamada yells so fervently that it’s a sin not to believe her",None,0,Russia_Ukaraine
слава украине ,glory to Ukraine,None,0,Russia_Ukaraine
молодці так їм ,well done so eat,None,0,Russia_Ukaraine
эй комментаторы в армии хотя бы в стройбате кто нить служил так не работают снайпера с прикрытием да ещё этот бендеркомментатор в нескольких метрах от злодеев это продолжение сериала предыдущие серии голый хрен с пейсом на макушке потом отрезанные уши и т д ,"hey, commentators in the army, at least in the construction battalion, who served a thread like this, a sniper with a cover does not work, and even this bender commentator a few meters from the villains is a continuation of the series previous series naked horseradish with a pace on the top of his head, then cut off ears, etc.",None,0,Russia_Ukaraine
 мариша клишечто значит сергать люди требуют выборов а не казни это перезагрузка а не свержение если так рассуждать как вы то изменения всегда будут не к месту всегда чего то или кого то не хватает а украина в любом случае не будет без власти ведь есть парламент кабмин местные органы власти ,"Marisha is a cliché what does it mean to swear people demand elections and not executions, this is a reboot and not an overthrow if you talk like that, then changes will always be out of place, something or someone is missing, and in any case, Ukraine will not be without power, because there is a parliament, the Cabinet of Ministers, local authorities authorities",None,0,Russia_Ukaraine
читай аннотацию ,read the abstract,None,0,Russia_Ukaraine
так вот в чем дело хохлы просто решили снять супер крутой фильм со спецэффектами как у спилберга и экшном как у снайдера обязательно пойду в кинотеатр ,so that's the thing crests just decided to make a super cool film with special effects like Spielberg and action like Snyder I'll definitely go to the cinema,None,0,Russia_Ukaraine
возникает вопрос почему снайпер только один и где пулеметчики почему их не видно ,the question arises why there is only one sniper and where are the machine gunners why they are not visible,None,0,Russia_Ukaraine
ирина молодец интересная женщина ,irina well done is an interesting woman,None,0,Russia_Ukaraine
слава украине ,glory to Ukraine,None,0,Russia_Ukaraine
 эрик хотя ничего скоро мы все равно мы узнаем всю правду стоит нам только в очередной раз подружиться с американцами они выведут из црушных комнат все это из под грифа и представят на всеобщее внимание и осуждение правда пройдет не мало лет многие даже забудут эту катастрофу ,eric although nothing soon we will still find out the whole truth if we just once again make friends with the Americans they will take all this out of the crush rooms from under the neck and present it to everyone's attention and condemnation the truth will pass for quite a few years many will even forget this catastrophe,None,0,Russia_Ukaraine
саша україна з тобою завжди ,Sasha Ukraine is always with you,None,0,Russia_Ukaraine
скажешь это им когда в тебя стрелять начнут ,tell them when they start shooting at you,None,0,Russia_Ukaraine
 украина свободная страна вы хотите сказать что на том видео из одессы одни агенты фсб ,"Ukraine is a free country, you want to say that there are only FSB agents on that video from Odessa",None,0,Russia_Ukaraine
это бред милиция раздевает и расстреливает провокаторы придумайте что то менее маразматичное ,this is nonsense the police undress and shoot provocateurs come up with something less insanity,None,0,Russia_Ukaraine
по видимому беркут заслан с россии ,apparently the golden eagle was sent from Russia,None,0,Russia_Ukaraine
украину как она есть хочет только тс а ес хочет чтоб мы у себя для начала как минимум порядки понаводили от страны где все держится на откатах и коррупции никому кроме россии пользы нет ,"only the CU wants Ukraine as it is, and the EU wants us to start at least establishing order from a country where everything rests on kickbacks and corruption, no one except Russia is of any use",None,0,Russia_Ukaraine
так их всех совсем охренели хохлы тока отстреливать и надо ,so crests of the current completely fucked them all and it is necessary to shoot,None,0,Russia_Ukaraine
 анна левицька анна если вы в своем уме то скорее вы платный тролль можно как угодно относиться к крашенинниковой но её доводы просто железные а хака просто жжет и делает эмоциональные выпады ,"anna levitska anna if you are sane, then you are more likely a paid troll, you can treat Krashennikova as you like, but her arguments are just iron and the hack just burns and makes emotional attacks",None,0,Russia_Ukaraine
срубавши голову по волосам не плачут ,chopping off the head by the hair do not cry,None,0,Russia_Ukaraine
к сожалению очень много нелюди пишет комментарии ,unfortunately a lot of bad people write comments,None,0,Russia_Ukaraine
нет лучше оставить их россиюшке что бы она и их разворовала москалям в киев путь закрыт ,"no, it’s better to leave them to a Russian woman so that she would plunder them for Muscovites in Kyiv, the path is closed",None,0,Russia_Ukaraine
ахах парни из кировограда там как раз так разговаривают на бендерской мове хоть бы врали красиво и где они бежали че то не увидела ,"ahah the guys from Kirovograd there just speak Bendery language like that, at least they lied beautifully and where they ran I didn’t see",None,0,Russia_Ukaraine
цирк а не видео и им это показывают уже весь мир живет в веке а россия все в войнушки хочет играть путин доведет россию до того что будет как с януковичем только бежать ему уже будет некуда жаль нормальных русских которым такую правдивую информацию доносят сми ,a circus and not a video and they are shown it already the whole world lives in a century and Russia wants to play war games Putin will bring Russia to the point that it will be like with Yanukovych only to run away he will have nowhere to feel sorry for the normal Russians who convey such truthful information to the media,None,0,Russia_Ukaraine
разницы нет вас везде одинаково ненавидят ,there is no difference you are equally hated everywhere,None,0,Russia_Ukaraine
лучше бы показали как поджигали заживо офицеров безоружныхи ну и хотя бы за чей счет сартиры содержались ой я забыл же что это канал патриота вити пинчука еврея которого буш и клинтон на юбилей приглашали тогда я не сомневаюсь в не предвзятости красава хорошо работает значит я согласен что сша не причем эти события стихийны а если даже и при чем то они спать спокойно не могли зная что где то в мире есть такой тиран янукович ведь они же любят украинушку матушку всей душой а мы все любим сша ,"it would be better to show how unarmed officers were set on fire, and well, at least at whose expense the sartires were kept oh, I forgot that this is the channel of the patriot Viti Pinchuk, a Jew whom Bush and Clinton invited to the anniversary then I have no doubt that beauty is not biased, it works well, so I agree that the United States nothing to do with these events being spontaneous, and even if they had something to do with it, they couldn’t sleep peacefully knowing that somewhere in the world there is such a tyrant Yanukovych, because they love Ukrainian mother with all their hearts, and we all love the United States",None,0,Russia_Ukaraine
україна совісно й нескорено вставай й бандитам не прощай та всіх гадів гідно наш народе швидше покарай дивіться ютубвідео свтло віри й правди упа та благовіст довбуша все що сталось в киіві було передбачено божими пророцтвами ще з року які є в тих відео та в статтях нашоі інтернетпятірки офіцерів священників упа бандери голодюка попереду опівночі в грудні р має бути ява антихриста і призначення в киів царем путіна й тоді проти нього воскреснуть з небес з синеоким русим христом наші святі героі щоб помогти упа боротися із комунозлом бог нам помагав і поможе упа й украіна переможе щасливо слава украіні слава нації ,"Ukraine, stand up conscientiously and do not forgive the bandits and punish all the bastards in a dignified manner, quickly punish our people, watch the YouTube video, the light of faith and truth, upa and the good news, everything that happened in Kyiv was predicted by God's prophecies since the year that are in those videos and in the articles of our Internet five officers the priests of UPA, Bandera, Holodyuk, ahead at midnight in December, there must be the appearance of the Antichrist and the appointment of Putin as Tsar in Kiev, and then against him our holy heroes will rise from heaven with a blue-eyed, red-haired Christ to help UPA fight against communist evil, God help us and help UPA, and Ukraine will win happily and glory Ukraine is the glory of the nation",None,0,Russia_Ukaraine
 макс курбатов беркут применил дозволенную силу а в ответ получили коктейли молотова вот это уже криминал ,"max kurbatov the golden eagle used the permitted force and received Molotov cocktails in response, now this is a crime",None,0,Russia_Ukaraine
сало всем хватило ,there was enough fat for everyone,None,0,Russia_Ukaraine
 сеньор помидор так что в очень тяжелое время мы живем только внуки наши наверное вкусят плоды счастливой жизни ,"senor tomato, so in a very difficult time we live only our grandchildren will probably taste the fruits of a happy life",None,0,Russia_Ukaraine
 олег вяткин ну там хтось стоїть в німецький казці і кричить що він німець аву очніться то такі українці як ви нема там німців і англійцій там нема таких націй то ми свої да деякі продажні но то все одно люди україни як і ви всі ,"Oleg Vyatkin, well, there is someone standing there in a German fairy tale and shouting that he is a German, wake up, there are no Ukrainians like you there, there are no Germans and Englishmen there, there are no such nations, we are our own, yes, some are corrupt, but all the same, people are Ukrainians, like all of you",None,0,Russia_Ukaraine
 ,,None,0,Russia_Ukaraine
де в рази підвищилися тарифи брехня як не соромно ,"where the rates of lies have increased several times, as if it is not a shame",None,0,Russia_Ukaraine
так разом ми стіна ,so together we are a wall,None,0,Russia_Ukaraine
 андрей карпина ты вообще думаешь что пишешь или ты под действием алкоголя ты написал мы усыпили донбасс анастезиолог что ли ты не родственник фарион случайно насчет обид если был в донецке то должен знать кто обижается я могу лишь расстроиться и поверь никак не из за тебя и твоих оскорблений ,andrey karpina do you even think that you are writing or are you under the influence of alcohol you wrote we put the anesthesiologist to sleep in Donbass or are you not a relative of farion by chance about insults if you were in Donetsk you should know who is offended I can only get upset and believe it is not because of you and your insults,None,0,Russia_Ukaraine
 николай негоголь я предпочту бути українцем а не тим і не іншим ,"Nikolay Negogol, I would rather be Ukrainian than one and neither the other",None,0,Russia_Ukaraine
кроме доказательства применения огнестрельного оружия силовиками это видео доказывает отсутствие огнестрела у повстанцев в случае возможности ответного огня в полный рост вразвалочку не ходят уж этим хлопцам это точно известно ,"in addition to proving the use of firearms by the security forces, this video proves the absence of a firearm among the rebels in the event of the possibility of return fire at full height, they don’t waddle, these lads know for sure",None,0,Russia_Ukaraine
петиция закончилась цифрой ,the petition ended with a number,None,0,Russia_Ukaraine
где власть ведь война ,where is the power because the war,None,0,Russia_Ukaraine
да стыд и позор майдаунным оккупантам ,"yes, shame and disgrace to the maydaun occupiers",None,0,Russia_Ukaraine
скоро за ведро строительного мусора будут сажать в сизо ,soon for a bucket of construction debris will be put in jail,None,0,Russia_Ukaraine
буковки выучи а потом по сайтам лазь ,learn the letters and then climb the sites,None,0,Russia_Ukaraine
вы уже помогли ,you have already helped,None,0,Russia_Ukaraine
тут правильно сказали на западе свои герои в центре свои на востоке свои герои и эти герои ни как не могут идти в одном направлении и уж тем более в единой стране невозможно строить три противоположные истории украина это ошибка это страна обреченная на развал не могут герои сс шагать рядом с героями освободителями от фашизма они враги а враги единую страну строить не могут ,"here they correctly said their heroes in the west in the center their heroes in the east and these heroes cannot go in one direction, and even more so in a single country it is impossible to build three opposite stories next to the heroes liberators from fascism, they are enemies, and enemies cannot build a single country",None,0,Russia_Ukaraine
там не видно кто стрелял и стрелял ли вообще ролик не показательный ,"there you can’t see who shot and whether the video was shot at all, it’s not indicative",None,0,Russia_Ukaraine
если убрать всю словесную шелуху то все становится на свои места соглашение об ассоциации в плане экономики полная сдача слив украины факт подтвержденный всеми экспертами это приведет тотальному обнищанию народа и голодным смертям и к безысходности в плане политики значительная потеря сувернитета как во внешних так во внутренних делах при этом ни о вступлении в ес ни о безвизовом режиме ни о каких либо рабочих квотах речи вообще нет уже есть примеры ассоциации с ес тунис ливия египет и тд там царит демократия высокий уровень жизни и автобаны как в германии видимо ах да еще есть турция которая вступает в ес уже лет ,"if you remove all the verbal husk, then everything falls into place an association agreement in terms of the economy complete surrender of the drains of ukraine a fact confirmed by all experts this will lead to total impoverishment of the people and starvation and to hopelessness in terms of politics a significant loss of sovereignty both in external and internal affairs under this is neither about joining the EU nor about a visa-free regime, nor about any working quotas at all, there are already examples of association with the EU tunisia libya egypt, etc. democracy reigns there, a high standard of living and autobahns, like in germany, apparently EU for years",None,0,Russia_Ukaraine
очень надеюсь летом в украине попасть на ваше выступление в одессе киеве ,I really hope to get to your performance in Odessa in Kyiv in the summer in Ukraine,None,0,Russia_Ukaraine
да все так и есть кирдык нам они давно готовили но мы не сдадимся ,"yes, that's the way it is kirdyk they have been preparing for us for a long time but we will not give up",None,0,Russia_Ukaraine
да и гильза от пистолета к чему здесь или снайпер с пистолета стреляет ,"yes, and a cartridge case from a pistol, what is it for here or a sniper shoots from a pistol",None,0,Russia_Ukaraine
 филлип брукс у вас есть основания полагать что я не умен ,phillip brooks you have reason to believe i'm not smart,None,0,Russia_Ukaraine
ты где живешь я вопрос задал а ты был в этой ущербной и неудобной сети чтоб давать оценку так что там про достижения майдана ,"where do you live, I asked a question, and you were in this flawed and uncomfortable network to give an assessment, so what about the achievements of the Maidan",None,0,Russia_Ukaraine
хороший клип уважаю стремление человека к свободе желаю братьям украинцам не испытывать феодального колониального и сырьевого гнёта привет из россии ,good clip I respect the human desire for freedom I wish the Ukrainian brothers not to experience feudal colonial and raw material oppression hello from russia,None,0,Russia_Ukaraine
срочно ищем владельца шестнадцати редких немецких снайперских винтовок ,urgently looking for the owner of sixteen rare German sniper rifles,None,0,Russia_Ukaraine
виктор фёдорович почему не разрешишь ребятам из беркута стрелять на поражение ,Viktor Fedorovich why don't you allow the guys from the golden eagle to shoot to kill,None,0,Russia_Ukaraine
