Comment,Translated_Comment,Category,Hate Speech,Geography
कीस की को रोजगार चाहिए फिर नहीं कहना रोजगार नहीं मिलता है 20 करोड को रोजगार दे दिया है वह भी मात्र 6 साँल में चार साल अभी बाकी है और हर साल दो करोड़ रोजगार देने का ही वादा था 10 साल में देना था 20 करोड को लोगो को रोजगार जो मात्र 6 साल में लक्ष्य को प्राप्त करने वाली पहली सरकार है,"Who wants employment, then say no, they do not get employment, they have given employment to 20 crore people, that too in just 6 years, four years are still left and there was a promise of giving 2 crore jobs every year, 20 crore people were to be given in 10 years. Employment to which is the first government to achieve the target in just 6 years","defamation,fake,offensive",1,India
"पटना: BMP कैंप में पुरुष और महिला कांस्टेबल ने गोली मारकर की खुदकुशी, जांच में जुटी पुलिस

@kumarprakash4u की रिपोर्ट

https://t.co/Dq05hREifM","Patna: Male and female constable shot suicide in BMP camp, police engaged in investigation

Reported by @kumarprakash4u

https://t.co/Dq05hREifM",non-hostile,0,India
"कोई भी कांग्रेसी, ऊंची छत पर, रेलवे लाइन पर, ऊंची बिल्डिंग पर, एकांत जगह पर, कुए के पास दिखाई दे, तुरंत पुलिस को सूचित करें,🙏
😂👍
विलुप्त होती हुई प्रजातियो को बचाना हमारा फर्ज है।","If any Congressman is seen on a high roof, on a railway line, on a tall building, in a secluded place, near a well, inform the police immediately.

It is our duty to save the endangered species.",hate,1,India
"अंडरवर्ल्ड डॉन छोटा राजन के भाई को बीजेपी द्वारा टिकट मिला है।

",Underworld don Chhota Rajan's brother got ticket by BJP.,fake,1,India
"RT @_Pb_swain_: इन पंचर छापों को कोन समझाए कि उनके रोजगार में कमी का कारण मोदी नहीं 
👇
ट्यूब लैस टायर है.😂😂😂😂","RT @_Pb_swain_: Who can explain to these puncture raids that Modi is not the reason for their lack of employment

Tubeless tyre.😂😂😂😂",defamation,1,India
"पश्चिम बंगाल में फिर हुई माओवादियों की वापसी, हाल ही में हुई घटनाएं इसका प्रमाण है  
#Maoist #WestBengal 
https://t.co/pP1AOvOv0b","Maoists are back again in West Bengal, recent incidents are proof of this
#Maoist #WestBengal
https://t.co/pP1AOvOv0b",non-hostile,0,India
"#Breaking-कंगना मामले पर बोले मनोज तिवारी-कहा धमकी मिलने के बाद ही सुरक्षा दी गई
#Sushantsinghcase #Kangana https://t.co/szOTZWq1hI","#Breaking - Manoj Tiwari said on Kangana case - said security was given only after receiving threats
#Sushantsinghcase #Kangana https://t.co/szOTZWq1hI",non-hostile,0,India
"@BasudebaTripat4: @Rajanspsingh1 अच्छा किया साले का सर फोड़ दिया,, गर्दन तोड़ देते तो और भी अच्छा होता
साले को पता चल गया होगा हिंदुस्ता…","@BasudebaTripat4: @Rajanspsingh1 well done, broke the head of the brother-in-law
The rascal must have come to know that Hindustan…",offensive,1,India
"हैदराबाद बीजेपी विधायक राजा सिंह की बहन माया देवी ने इस्लाम स्वीकार कर लिया । उन्होंने कहा कि भारत एक लोकतांत्रिक देश है, जहां धर्म चुनना हमारा व्यक्तिगत अधिकार है, कोई भी मजबूर नहीं कर सकता है ।
","Maya Devi, sister of Hyderabad BJP MLA Raja Singh, converted to Islam. He said that India is a democratic country, where choosing religion is our individual right, no one can force us.",fake,1,India
"कमलनाथ के राज में 100,₹ में 100यूनिट बिजली मिल रही थी
अब आए चोर शिवराज जो बिजली के बिलों को 500से 1000₹ तक कर दिया","During the rule of Kamal Nath, 100 units of electricity were available for ₹ 100.
Now the thief Shivraj has come who increased the electricity bills from 500 to 1000 ₹","defamation,fake,hate",1,India
