Comment,Translated_Comment,Category,Hate Speech,Geography
شمس مثقفة و جميلة وايد ... و احلام ههههععع ما اقول,"An educated, beautiful, supportive sun... and dreams, oh, what can I say",None,0,Arab
احلام اني حبيتها اكثر لان  انظلمت كثير من الناس  هي امراه قويه وكبيره في عيونا وليسه محتشم,"Dreams that I loved her more because I wronged many people. She is a strong and big woman in my eyes, and he is not modest.",None,0,Arab
كبرلفك والله دايضحكون عليج,"Grow up, by God, they will laugh at you",None,0,Arab
والله كلامه صحيح عن شمس,"By God, what he said is true about Shams",None,0,Arab
ذكرى ما نسيناك وما حد بينسينا صوتك الجميل وطيبتك وقدراتك الغير موجوده في أي بشر رحمك الله,"A memory that we have not forgotten you, and no one has forgotten your beautiful voice, your kindness, and your abilities that are not found in any human being, may God have mercy on you",None,0,Arab
الله يرحمك اسمعو صوتها وراح تتئكدون انتي النكره والنشاز إذا جاء اسم ذكرى توقفين احترام وتقدير لها مين قال ان صوتك حلو,"May God have mercy on you, listen to her voice, and you will be sure that you are the ungrateful and the cacophonous.",None,0,Arab
اسمعي هاذا انت والصدفه ووش إخباري واحذرك وفرصه اخيره وجميع اغانيها اتحداك إذا قدرتي تتقني نص احساسها وصوتها والله يرحم الفن من بعدك ياذكرى,"Listen, this is you and the coincidence, what is telling me, and I warn you, and a last chance, and all of her songs. I challenge you, if you are able, to master the text of her feelings and her voice.",None,0,Arab
حتى الليبي اتقنته,Even the Libyan mastered it,None,0,Arab
غنت لجميع الدوول العربيه,She sang to all Arab countries,None,0,Arab
,,None,0,Arab
احلام   انسانة  فاقدة  توازنههديها ا  تحتاج  الى العلاج    اللة يهديها,"Dreams of a person who has lost his balance, guides her, does not need treatment, may God guide her",None,0,Arab
الحمد لله ماراح تشارك,Thank God you will not participate,None,0,Arab
احلام عفويه واعتقد ان قلبها كثير طيب,Spontaneous dreams and I think that her heart is very good,None,0,Arab
والله فنانات لاشكل ولا منظر ولا صوت بدون  مكياج تقرف تنظر لهم  ولا اى حد عجبهم  لا حول ولا قوة الا بالله,"By God, female artists have no form, no view, no sound, without make-up, you are disgusted to look at them, and no one likes them. There is neither power nor strength except with God",None,0,Arab
اني عراقي وموت بحلام احسن مطربة بل خليجً وكلبهة طيب وعلى نياتهة,"I am Iraqi, and I die with a dream. I am the best singer, but rather a gulf and a good dog, with good intentions",None,0,Arab
انى كتير بكرهه,I hate it so much,None,0,Arab
ملكة انا بموت فيك وفشخصيتك القوية وفعفويتك ملكة ملكة,Queen I die in you and your strong personality and spontaneity Queen Queen,None,0,Arab
فيديو حقيقي لاحلام بس ممكن أعرف مين الصحفي اللباني الي كان عم بعلق كلامو دقيق وعم يحكي كناقد مختص,"A real video by Ahlam, but may I know who is the Lebanese journalist who was commenting on his accurate words and speaking like a specialized critic?",None,0,Arab
والله انتي كل صوت ماعندك وكل ادب واخلاق ماعندك,"I swear to God, you are every voice you have, and every literature and morals you have",None,0,Arab
احلا تحيه لاحلام بس الناس مقهورين منها,"The best greetings for dreams, but people are oppressed by them",None,0,Arab
شي ميشبه شي😒,Something like something 😒,None,0,Arab
سلام اين الادب اين الاخلاق كسيات عريات خشب جهنم ياويلك ياويلك الدنيا فنيا نش دايمة,"Peace, where is the literature, where are the morals, clothed in naked clothes, the wood of hell?",None,0,Arab
"انتم ليش زعلانين من احلام .... ولا تزعلوا ولا على بالكم ...الله عز وجل قال ...
بسم الله الرحمن الرحيم .. 
ولا يحزنك كفرهم .. صدق الله العظيم
وبعدين بدل الشتايم لاحلام انا باقترح تبعتولها رسائل تذكير بالله.... وبعدين احلام قديش بدها تعيش... يعني بدها تعيش كمان عشرين ثلاثين سنة ... اخريتها بين يدي الله ... وكلٌ آتي الرحمن فردا ... ويا حسرة علّي ظيع عمره في معصية الله","Why are you upset about dreams....don't be upset or upset...God Almighty said...
In the name of God, the most gracious, the most merciful ..
And do not be saddened by their disbelief.. God Almighty has spoken the truth
And then, instead of insulting dreams, I suggest sending them messages of reminders of God.... Then, how many dreams do they want to live... I mean, they want to live twenty to thirty years... I will last them in God's hands... and each will come to the Most Merciful individually... and what a pity for me His age is in disobedience to God",None,0,Arab
هاي ليس فنانة  وناماء  حوانيه,Hai is not an artist and Namaa Hawaneh,None,0,Arab
لو كانت متعلمه ما كان هذا حالها نقطه لسطر,"If she was educated, this would not be the case point to line",None,0,Arab
حافضة القران خخخخخخخ,Hafez Al-Qur’an hhhhhhhhhh,None,0,Arab
البغتابون أحلام ايغارون منها,Al-Bghtabon dreams Egaron them,None,0,Arab
أحلام رووووووووعه بكل شي  احبببببببببببببببببببببك من كل قلبي,Wonderful dreams with everything I love you with all my heart,None,0,Arab
ملكة جمال الخليج,Miss Gulf,None,0,Arab
مسكين صاحب القناة مقهور جدا من أحلام ويجمع الفيديوهات  طب ليش هذا الحسد والغيره,"The poor owner of the channel is very oppressed by dreams and collects videos, so why this envy and others?",None,0,Arab
"بدنا كنتاكي   عاجل 
تكفون ياشباب الي عنده كنتاكي يجيبه         علا كل مطاعم كنتاكي العجله  
ماودنا مشاكل","We need KFC urgently
Enough guys, if you have Kentucky Fried Chicken, bring it to all Kentucky Fried Chicken restaurants
We don't have problems",None,0,Arab
اصلن هو ارب ايدل جيبنه علمود ايضحكون على حجيه,"Asln is the father of Adel Jibna Alamoud, do they laugh at Hajjih?",None,0,Arab
والله طاح حضه بهل فديوات,"By God, he threw his lap with these videos",None,0,Arab
احلام ست الكل  ومافي اطيب من قلبا ولو كره الكارهون هي الملكة,"Dreams of all, and there is nothing better than a heart, even if the haters hate it. She is the queen",None,0,Arab
والله بيناقص منها رايح يتهنا منها البرنامج  ًويكونواحلا.,"By God, it decreases from it, so the program will be humiliated by it, and it will be sweeter.",None,0,Arab
نن يفوز,Nin wins,None,0,Arab
بصراحة اول مره تقول شي صح شمس بتستعرض جسمها مش فنانه,"Honestly, the first time you say something is true, Shams is showing off her body, not an artist",None,0,Arab
هلا يا جمهور كفا كفووووو كفوووووووو حقد و غيره و حسد على احلام اش فيها تبوس اعز، صديقتها عادي جدا تلاعبها كبنوته و الله خبث منكم  تنتهكون حرمتها و لا اروع من احلام  حاقدين عليها لانها ارقا منكم انا راح ادعمها بكل ثروتي,"Hey fans, stop, stop, stop, stop, hate, etc. and envy for dreams that contain kisses dearest, her friend is very normal to manipulate her as a daughter, and God is malicious among you, violating her sanctity, and there is nothing more wonderful than the dreams of haters against her, because she is more delicate than you, and I will support her with all my wealth",None,0,Arab
اميلها ملكا  هيا سميت نفسها ملكا,"Emileha king, come on, she called herself a king",None,0,Arab
هاذه كذابه لو حافضه القران ماكان تغني,"This is a liar, if he memorized the Qur’an, he would not sing",None,0,Arab
الله يشافيه مريضه,God healed his illness,None,0,Arab
احلام ملكه,Queen's dreams,None,0,Arab
جنهة بومة عابت 😁😁😁😁😁😁😁😁😁😁,Jannah is an owl who cursed 😁😁😁😁😁😁😁😁😁😁,None,0,Arab
بلله يامبارك   تحب احلام,God bless you love dreams,None,0,Arab
خبله باينه من تصرفاتها ام الكنتاكي ههههههه,"Stupid evidence of her actions, the mother of Kentucky, hahaha",None,0,Arab
نص مقطع كذاب أحلام نسانه محترمه,Text clip liar dreams of a respectable person,None,0,Arab
شاركت فوق خشمك,Share your anger,None,0,Arab
,,None,0,Arab
فنانت العرب احلام علا عين الحسود😜😜😜,Arab artist Ahlam Ola Ain Al-Hassoud 😜😜😜,None,0,Arab
بس لان كل حكيها صح انت مدايقين,"But because all her words are true, you are upset",None,0,Arab
شو ماعندكن شغلة غير احلام الله ياخدكن شعب بموت على التمسخر والشماتة ببعض,What do you have to do other than dreams?,None,0,Arab
"مو نمسا بالتركي 
بالتركي اويودو يعني نام 
الترجمة مالتهم غلط اني مترجم تركماني في تركيا من اصل عراقي","Not Austria in Turkish
In Turkish, oyudu means slept
The translation did not make them wrong. I am a Turkmen translator in Türkiye of Iraqi origin",None,0,Arab
يلههههههوي حافظة القرأن,Ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh!,None,0,Arab
هههههههههههههههههههههههه خرب حضي,Hahahahahahahahahahahahahaha,None,0,Arab
بدي اقول للفنانه أحلام على قد مو ناجحه مشغلا بال الكل الكل تارك اشغالو وعم يدور ع شي كلمه يحكيها صح مثل ما قالت مقهورين,"I want to tell the artist, Ahlam, as successful as she is, preoccupied with everyone's mind, everyone has left their jobs and is searching for something to say.",None,0,Arab
فعلا مثل ما قالت الفنانه أحلام ما في مطربة اسمها شمس,"Indeed, as the artist Ahlam said, there is no singer named Shams",None,0,Arab
احلام عفوية وطيبة واحسن من اي شخص وسخ بحكي عليها كلمة وسخة,"Spontaneous and good dreams, and better than any dirty person, I speak a dirty word about them",None,0,Arab
,,None,0,Arab
,,None,0,Arab
,,None,0,Arab
,,None,0,Arab
"أحلام  شهرتها ليس بسبب فنها ولكن بسبب خرووجها عن النص ونشاطها في مواقع التواصل واستهبالها  زي الخليل كوميدي في مصر وغيره أقصد الشهره السلبية
هذه المخلوقة لديها مشكلة نفسية مع الحياة أو ما يسمى شبع من بعد فقر
هذه المخلوقة هتكت عرض الفن والأخلاق وحتى الزمالة الفنية
استغرب ان لديها جمهور وهذه المشكلة إذا كانو يشبوهنها أخلاقيا  !!!!!فالمجتمع العربي يعاني من مشاكل وليست مشكلة","Dreams of her fame is not because of her art, but because of her deviance from the text and her activity on communication sites, and her disdain for the costume of Khalil is a comedian in Egypt and others. I mean negative fame
This creature has a psychological problem with life or what is called satiety after poverty
This creature mocked the show of art, morals, and even artistic fellowship
I am surprised that she has an audience and this problem if they are morally like her!!!!! Arab society suffers from problems, not a problem",None,0,Arab
اني صراحة كنت أكره أحلام بس أحس متغيرة هذي اليام,"Honestly, I used to hate dreams, but I feel changed these days",None,0,Arab
مكروه احلام,Hate dreams,None,0,Arab
مشكلة الفنانين المصريين ولبنانيين انهم يعتقدو انهم نخبة الفن العربي واي فن عربي اخر هو مستوي ثاني مايعرفو يحترمو حدا مثلا المصربين العرب ما يعترفو بالراي مع انو الراي اشهر غناء عربي لو رحت اوربا وسالتهم عن الشاب خالد يعرفوه ولو سالت عن فنان عربي اخر نادر ما يعرفوه....,"The problem of Egyptian and Lebanese artists is that they think that they are the elite of Arab art, and any other Arab art is a second level. ...",None,0,Arab
اللهم إني أسألك العفو والعافية في الدنيا والآخرة,"Oh God, I ask you for forgiveness and wellness in this world and the hereafter",None,0,Arab
بصراحة يا أخي الكريم ، للاسف ٩٧٪ من الاعلام العربي اعلام موجه ورخيص ومخجل ومافي احترافية ويستخف بعقل المشاهد وللاسف كثير من المشاهدين غير مدركين لهدف الرسالة التي يقدمها الاعلام العربي وهي مدفوعة التكلفة اصلا من جهات يهمها ان تظل المشاهد وهو الشعب مخدرا ومنوما وما يصحي ابدا ولا يعي.,"Frankly, my dear brother, unfortunately, 97% of the Arab media is directed, cheap, shameful, lacking in professionalism, and underestimates the mind of the viewer. Unfortunately, many viewers are unaware of the goal of the message that the Arab media presents, and it is paid for by parties whose interest is to keep the viewer, the people, sedated and hypnotized, and never wake up. aware.",None,0,Arab
تسلم ضحكة حسن الشافعي,Receive the laughter of Hassan Shafei,None,0,Arab
بتحكي شامي دخيل الله ههههه,Do you speak Shami Dakhil God hahaha,None,0,Arab
احلاااااام بكرهككككك,Ahlam I hate you,None,0,Arab
